folio,genero,rango_edad,alcaldia,turno_simulado,sede_asignada_simulada,discapacidad,lengua_indigena,comunidad_indigena,acceso_internet,tiene_beca,estatus_registro
REG26-000128,Hombre,31-35,CUAUHTÉMOC,Matutino,093_CO_CUH - CHABACANO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-000173,Hombre,36-40,VENUSTIANO CARRANZA,Matutino,279_CO_VCA - TEPITO MORELOS,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000263,Mujer,26-30,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000290,Mujer,36-40,IZTACALCO,Matutino,125_CO_IZT - LOS MARTIRES DEL 10 DE JUNIO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-000401,Hombre,31-35,CUAJIMALPA DE MORELOS,Único,291_PT_CUM - CUAJIMALPA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-000437,Mujer,31-35,CUAUHTÉMOC,Matutino,099_CO_CUH - SAN FRANCISCO TULTENCO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000446,Mujer,41-45,BENITO JUAREZ,Matutino,120_CO_BEJ - CARLOS MONSIVÁIS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-000503,Mujer,21-25,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-000638,Mujer,31-35,IZTAPALAPA,Matutino,138_IZ_IZP - EL MOLINO TEZONCO,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-000704,Mujer,31-35,IZTAPALAPA,Matutino,216_IZ_IZP - SANTA MARÍA AZTAHUACÁN II,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000725,Mujer,31-35,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000743,Mujer,31-35,XOCHIMILCO,Matutino,030_SU_XOC - SANTIAGO TEPALCATLALPAN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000755,Mujer,36-40,ÁLVARO OBREGÓN,Matutino,104_PT_AOB - BARRIO NORTE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000812,Hombre,26-30,TLAHUAC,Matutino,086_SU_TLH - MURCIÉLAGO,No,No,No,Sí,No,Aceptado
REG26-000866,Mujer,31-35,IZTAPALAPA,Matutino,053_IZ_IZP - RENOVACIÓN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000872,Mujer,26-30,LA MAGDALENA CONTRERAS,Matutino,082_SP_MAC - PARCELA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-000911,Mujer,21-25,IZTAPALAPA,Matutino,012_IZ_IZP - GABRIELA MISTRAL,No,No,No,Sí,No,Aceptado
REG26-000947,Mujer,26-30,XOCHIMILCO,Matutino,252_SU_XOC - BODOQUEPA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-001040,Mujer,21-25,IZTAPALAPA,Matutino,053_IZ_IZP - RENOVACIÓN,No,No,No,Sí,Sí,Aceptado
REG26-001148,Mujer,21-25,IZTAPALAPA,Único,068_IZ_IZP - YAUTLICA,No,No,No,Sí,Sí,Aceptado
REG26-001157,Mujer,31-35,TLALPAN,Matutino,148_SP_TLP - BOSQUES,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-001175,Hombre,26-30,BENITO JUAREZ,Matutino,054_CO_BEJ - MUNICIPIO LIBRE,No,No,No,Sí,No,Aceptado
REG26-001208,Mujer,31-35,GUSTAVO A. MADERO,Matutino,209_NT_GAM - SANTA MARÍA TICOMÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-001235,Mujer,21-25,GUSTAVO A. MADERO,Matutino,211_NT_GAM - PROVIDENCIA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-001280,Hombre,21-25,GUSTAVO A. MADERO,Matutino,116_NT_GAM - EL VIVERO,No,No,No,No,Sí,Aceptado (pendiente de validación)
REG26-001535,Mujer,31-35,TLAHUAC,Matutino,085_SU_TLH - MIGUEL HIDALGO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-001565,Hombre,21-25,TLAHUAC,Matutino,045_SU_TLH - PAULO FREIRÉ,No,No,No,Sí,No,Aceptado
REG26-001568,Mujer,26-30,IZTAPALAPA,Matutino,066_IZ_IZP - VILLA CID,No,No,No,Sí,Sí,Aceptado
REG26-001580,Hombre,26-30,GUSTAVO A. MADERO,Único,165_NT_GAM - HÉROES DE CERRO PRIETO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-001691,Hombre,21-25,XOCHIMILCO,Matutino,030_SU_XOC - SANTIAGO TEPALCATLALPAN,No,No,No,Sí,No,Aceptado
REG26-001772,Hombre,31-35,COYOACÁN,Matutino,101_SP_COY - LA ESCUELITA,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-001799,Mujer,21-25,COYOACÁN,Matutino,106_SP_COY - TOPILTZIN,No,No,No,Sí,No,Aceptado
REG26-001847,Hombre,16-20,IZTAPALAPA,Matutino,075_IZ_IZP - SANTA CRUZ MEYEHUALCO,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-001859,Hombre,21-25,IZTAPALAPA,Matutino,271_IZ_IZP - VICENTE GUERRERO,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-001898,Hombre,36-40,GUSTAVO A. MADERO,Matutino,111_NT_GAM - PUERTO MAZATLÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-001919,Hombre,31-35,GUSTAVO A. MADERO,Matutino,111_NT_GAM - PUERTO MAZATLÁN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-001931,Hombre,51+,IZTACALCO,Matutino,059_CO_IZT - ROJO GÓMEZ,Sí,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-001958,Hombre,31-35,VENUSTIANO CARRANZA,Matutino,123_CO_VCA - CANDELARIA,No,No,No,Sí,Sí,Aceptado
REG26-002180,Hombre,21-25,IZTACALCO,Matutino,010_CO_IZT - AGRÍCOLA PANTITLÁN,No,No,No,Sí,No,Aceptado
REG26-002258,Mujer,46-50,CUAJIMALPA DE MORELOS,Matutino,158_PT_CUM - CONTADERO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-002264,Mujer,36-40,AZCAPOTZALCO,Matutino,102_NT_AZC - PRO HOGAR,No,No,No,No,No,Aceptado (pendiente de validación)
REG26-002312,Mujer,26-30,XOCHIMILCO,Matutino,187_SU_XOC - SAN LORENZO ATEMOAYA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002318,Hombre,41-45,AZCAPOTZALCO,Matutino,048_NT_AZC - SAN PEDRO XALPA,Sí,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002411,Mujer,21-25,MIGUEL HIDALGO,Matutino,177_PT_MIH - CASA AMARILLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002456,Mujer,46-50,GUSTAVO A. MADERO,Matutino,162_NT_GAM - ESTRELLA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002498,Hombre,31-35,TLALPAN,Matutino,098_SP_TLP - LA JOYA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002501,Hombre,16-20,TLAHUAC,Matutino,237_SU_TLH - SANTA CATARINA YECAHUIZOTL,No,No,No,Sí,No,Aceptado
REG26-002507,Hombre,31-35,GUSTAVO A. MADERO,Matutino,107_NT_GAM - MAGDALENA DE LAS SALINAS,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-002510,Mujer,21-25,IZTAPALAPA,Matutino,074_IZ_IZP - ESCUADRÓN 201,No,No,No,Sí,No,Aceptado
REG26-002525,Mujer,21-25,IZTACALCO,Matutino,125_CO_IZT - LOS MARTIRES DEL 10 DE JUNIO,No,No,No,Sí,Sí,Aceptado (pendiente de validación)
REG26-002537,Hombre,21-25,COYOACÁN,Matutino,101_SP_COY - LA ESCUELITA,No,No,No,Sí,Sí,Aceptado
REG26-002558,Hombre,31-35,ÁLVARO OBREGÓN,Matutino,044_PT_AOB - LOMAS DE LA ERA,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002630,Mujer,26-30,COYOACÁN,Matutino,106_SP_COY - TOPILTZIN,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002636,Mujer,21-25,IZTACALCO,Matutino,059_CO_IZT - ROJO GÓMEZ,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002645,Mujer,31-35,XOCHIMILCO,Matutino,060_SU_XOC - 16 DE SEPTIEMBRE,No,No,No,Sí,No,Aceptado (pendiente de validación)
REG26-002672,Hombre,26-30,XOCHIMILCO,Matutino,252_SU_XOC - BODOQUEPA,No,No,No,Sí,No,Aceptado (pendiente de validación)
